bill_id,act_number
70566,1864-20
70567,1087-20
70568,1371-20
70569,1083-20
70570,1067-20
70586,1074-20
71678,1681-20
70595,1069-20
70596,1070-20
70604,1123-20
70606,1078-20
70610,1079-20
70611,1080-20
70612,1124-20
70617,1381-20
71353,1350-20
70627,1092-20
70629,1178-20
75185,2776-20
70638,1557-20
70880,1173-20
72110,1920-20
70642,1797-20
70737,1216-20
70873,1140-20
70675,1088-20
70676,1131-20
70679,1114-20
70680,1130-20
70687,1818-20
70984,1322-20
70694,1118-20
70700,1119-20
70704,2458-20
71561,1771-20
70702,1121-20
70706,1128-20
70722,2955-20
72229,1819-20
70908,1149-20
70727,1285-20
70909,1204-20
71934,1468-20
70928,1148-20
71598,1390-20
70734,1638-20
70970,1296-20
70745,1162-20
70750,1666-20
71390,1395-20
70751,1848-20
71708,1476-20
70747,1365-20
70998,1202-20
70756,1588-20
71833,1450-20
71959,1470-20
70768,1822-20
71497,1594-20
70769,1584-20
71572,1429-20
70775,2775-20
71457,2508-20
75137,2721-20
70774,1157-20
74586,2693-20
70781,1916-20
71300,1505-20
70786,2718-20
71378,1504-20
72511,1688-20
71640,1377-20
70800,1984-20
71825,1736-20
70966,1590-20
71965,1469-20
70817,1132-20
71612,1585-20
71153,1298-20
70854,1159-20
70986,1145-20
70878,1915-20
71356,1481-20
71063,1658-20
71336,1387-20
72139,1515-20
71059,1622-20
71587,1379-20
70898,1402-20
70899,1252-20
70900,1403-20
70901,1253-20
71142,1254-20
70918,1147-20
70915,1576-20
71317,1389-20
70920,1229-20
70922,2032-20
70931,1756-20
71648,1516-20
72997,2060-20
71083,1369-20
71105,1242-20
70942,2040-20
71661,1744-20
72425,1763-20
70946,1158-20
70951,1312-20
70952,1153-20
70953,1154-20
70955,1155-20
70969,1167-20
70973,1164-20
71096,1228-20
71682,1388-20
71777,1409-20
71922,1445-20
71993,1455-20
72000,1472-20
72085,1488-20
72222,1540-20
72367,1575-20
72410,1597-20
71125,1239-20
72493,1627-20
72574,1655-20
71140,1249-20
71273,1286-20
71413,1340-20
71480,1348-20
71553,1355-20
71636,1424-20
71656,1375-20
70974,1165-20
72397,1602-20
71746,1722-20
70990,1251-20
70993,1657-20
71350,1500-20
70995,1372-20
71003,1378-20
71462,1526-20
71026,1969-20
71035,1226-20
71036,1227-20
71038,1225-20
71034,1224-20
71041,1222-20
71042,1223-20
72539,2239-20
71078,1438-20
71327,1391-20
71087,1359-20
71092,1953-20
71383,1412-20
72376,1841-20
71089,1635-20
71892,1453-20
71090,1636-20
71654,1464-20
71107,1313-20
71108,1800-20
71109,1314-20
71110,1801-20
71111,1676-20
71113,1315-20
71114,1610-20
71115,1675-20
71116,1316-20
71117,1317-20
71118,1318-20
71124,2043-20
71789,1465-20
71126,2518-20
72172,1718-20
71516,1527-20
71139,1250-20
71147,2011-20
71373,1519-20
71149,2109-20
71150,2110-20
71155,1601-20
71651,1413-20
71160,2438-20
73649,2349-20
71165,1770-20
71791,1533-20
73453,1968-20
71167,1279-20
71169,1280-20
71171,1281-20
71172,1282-20
71173,1283-20
71174,1284-20
71915,1462-20
71917,1463-20
71177,2627-20
72543,1740-20
71180,1869-20
72714,1731-20
71191,1668-20
72114,1508-20
71247,1886-20
71466,1514-20
71522,1495-20
73243,1910-20
74565,2420-20
71199,1704-20
71381,1341-20
71382,1385-20
71215,1648-20
72179,1595-20
71219,2107-20
71220,2108-20
72580,1783-20
71231,1539-20
71511,1362-20
71232,1727-20
72231,1541-20
71233,1524-20
71523,1363-20
71234,1542-20
71538,1364-20
71238,1554-20
71461,1436-20
71239,2203-20
71464,1437-20
72252,1555-20
71240,2717-20
72294,2522-20
74712,2523-20
71242,2421-20
71787,1762-20
71256,1287-20
71257,1288-20
71258,1289-20
71259,1290-20
71260,1291-20
71261,1443-20
71550,1397-20
71269,1419-20
71285,1380-20
71296,2789-20
71470,1393-20
71555,1360-20
71299,1451-20
72632,2079-20
72693,1717-20
71731,1421-20
72066,1670-20
71320,1724-20
71735,1478-20
71322,1331-20
71323,1332-20
71325,1333-20
71328,1335-20
71330,1336-20
71331,1334-20
71355,1882-20
71904,1581-20
72009,2565-20
71387,1839-20
71768,1452-20
71391,1897-20
72781,1772-20
73018,1815-20
71403,1454-20
71407,1498-20
71784,1418-20
71406,1353-20
71410,1720-20
72304,1562-20
71422,1766-20
72256,1559-20
71455,2253-20
71872,1761-20
71456,1662-20
71992,1565-20
71471,2654-20
72153,1633-20
71469,1347-20
71473,2080-20
71475,1342-20
71476,1343-20
71477,1345-20
71479,1344-20
71478,1346-20
71487,1705-20
71650,1900-20
71496,1374-20
71495,1373-20
71501,1370-20
71508,1358-20
71510,1492-20
71785,1442-20
71521,1558-20
71778,1410-20
71879,1598-20
71533,1434-20
71665,1384-20
71534,1530-20
71786,1439-20
71537,1356-20
71544,1909-20
72046,1564-20
73505,2607-20
71562,2389-20
72080,1497-20
71730,1709-20
71566,2868-20
72095,2451-20
71568,1399-20
71604,2047-20
72063,1669-20
71589,2812-20
71591,2513-20
73629,2453-20
71594,2393-20
72181,1683-20
71603,1490-20
75675,2935-20
71621,1532-20
71646,2825-20
71647,2826-20
71653,2434-20
72411,2252-20
71663,1946-20
71912,1517-20
71666,1428-20
71671,1435-20
71676,1739-20
71683,1874-20
72494,1757-20
71695,1404-20
71696,1405-20
71697,1406-20
71698,1407-20
71699,1408-20
71720,2466-20
72274,1769-20
73427,1943-20
71748,1513-20
71901,1631-20
72220,1600-20
71764,1426-20
72280,1634-20
72456,2052-20
72789,2046-20
72810,1884-20
71790,1425-20
71793,1649-20
73377,2001-20
71821,1755-20
72357,1738-20
75793,2975-20
71882,1810-20
71962,1475-20
71835,1858-20
72512,1653-20
72340,2002-20
71837,1491-20
71838,1871-20
72292,1679-20
71839,1820-20
72487,1730-20
71840,1951-20
72045,1521-20
72428,1711-20
71861,1747-20
